Nazwa,X,Y,Szkola,Praca,Zakupy,Rozrywka,Restauracje,Spotkania,Zdrowie,Kultura,Osiedle
EPI,51.098237988398594,17.030786279652435,0,1,0,1,1,1,0,0,
Eluarda,,,0,1,0,0,1,1,0,0,
FAT,51.09456985835426,16.97989446837951,0,0,0,0,1,1,0,0,
Fabryczna,51.112419642527264,16.98308283428756,0,0,0,1,0,0,0,0,
Ferma - Stadnina Koni,,,0,0,0,1,0,0,0,0,
Fieldorfa,51.14650758598321,16.907923020092028,0,0,0,1,1,1,0,0,
Fieldorfa (Szpital),,,0,1,0,1,0,0,1,0,
Fiołkowa,51.09219529426615,16.977602768379565,0,0,1,1,0,0,1,0,
Gaj,,,0,0,1,1,0,0,0,0,
Gaj - Pętla,51.07684951418592,17.050125422240534,0,0,1,1,0,0,0,0,
Galeria Dominikańska,51.107771408106736,17.03866833093261,0,0,0,0,0,0,0,0,
Gałów (Pętla),,,0,1,0,0,0,0,0,0,
Giełdowa (Centrum Hurtu),51.06811477502571,16.969519320359183,0,1,0,0,0,0,0,1,
Grabiszynek,,,0,1,0,0,0,0,0,0,
Grabiszyńska (Cmentarz II),51.08764419868628,16.975478844221627,0,0,1,1,1,0,0,0,
Grabiszyńska (Cmentarz),,,0,1,1,1,1,0,0,0,
Gagarina,51.09538823648097,16.93472053855083,0,1,1,1,1,0,0,0,
Gajowa,,,0,1,0,0,0,0,0,0,
Gajowicka,51.08888659802636,17.00669785900586,0,1,0,0,0,0,0,0,
Gajowicka (Szkoła),,,1,0,0,1,1,0,0,0,
Gazowa,51.07821989511504,17.06964401037991,0,0,1,1,1,0,0,0,
Gałczyńskiego,,,0,0,1,1,0,0,0,0,
Gałowska,,,0,0,0,0,0,0,0,0,
Gałów Przedszkole,,,1,1,0,0,0,0,0,0,
Gałów Przy Posesji Nr 2,,,0,0,0,0,0,0,0,0,
Glinianki,51.13801310773433,16.935572172202185,0,0,0,0,0,0,0,0,
Godebskiego (Awf Wrocław),,,0,0,0,1,1,0,0,0,
Godzieszowa (Na Wys. Nr 3),,,0,0,0,0,0,0,0,0,
Godzieszowa (Na Wys. Nr 8),,,0,1,1,1,1,0,0,0,
Godzieszowa - Transformator,,,0,1,1,1,1,0,0,0,
Gorlicka,,,0,1,1,1,1,0,0,0,
Gospodarska,,,0,0,0,0,0,0,0,0,
Grabiszyńska,51.10229804470878,17.01319260039603,0,0,0,0,0,0,0,0,
Grabowa,,,0,1,0,0,0,0,0,0,
Graniczna,51.10852773211649,16.909633339581077,0,1,0,1,1,1,0,0,
Graniczna (Strachowicka),,,0,1,0,1,1,1,0,0,
Grochowa,,,0,1,1,1,1,1,0,0,
Gromadzka,,,0,1,1,1,1,1,0,0,
Grota-Roweckiego,51.05070975916696,17.03024185272085,0,1,1,1,1,1,0,0,
Grudziądzka,,,0,1,1,0,0,0,0,0,
Grunwaldzka,51.11508503101916,17.067225347131597,0,0,0,1,1,0,0,0,
Grzybowa,,,1,0,0,1,1,0,0,0,
Gwiaździsta,,,0,0,0,0,0,0,0,0,
Góra Kapliczna,51.15140923758712,16.992914247199728,0,0,0,1,1,0,0,0,
Górnickiego,,,0,0,0,1,1,0,0,0,
Górnicza,51.14038812055504,16.959001406086617,0,0,0,0,0,1,0,0,
Gądowianka,,,0,0,0,0,0,1,0,0,
Gądów,51.05115119560938,16.909661948143345,0,1,0,0,0,1,0,0,
Gądów - Świerkowa,,,0,1,1,1,0,0,0,0,
Gąsiorowskiego,,,0,1,0,0,0,0,0,0,
Gąsiorów,,,0,1,0,0,0,0,0,0,
Gęsia,,,0,1,0,1,1,0,0,0,
Głogowska,,,0,1,0,1,1,1,0,0,
Głoska - Ul. Średzka,,,0,1,0,0,0,0,0,0,
Głubczycka,,,0,1,0,0,0,0,0,0,
Główna,,,0,1,0,0,0,0,0,0,
Hala Stulecia,51.10711908745529,17.073260255577743,0,1,1,1,1,1,0,0,
Hala Targowa,51.11270585316793,17.0394944195422,0,0,1,1,1,1,0,0,
Halicka,,,0,0,0,0,0,0,0,0,
Hallera,51.08638626845392,17.012038690891746,0,0,0,1,1,0,0,0,
Hartmana,,,1,1,1,1,1,0,0,0,
Hermanowska,,,1,1,1,0,0,0,0,0,
Hippiczna,,,0,0,0,0,0,0,0,0,
Hubska (Dawida),51.09326802569582,17.042821476199666,0,0,0,1,1,0,0,0,
Husarska,,,0,0,0,0,0,0,0,0,
Hutmen,,,0,0,0,1,1,1,0,0,
Hynka,,,0,0,0,1,1,1,0,0,
Iwiny - Pętla,51.04229666798833,17.072355934029353,0,0,0,0,0,0,0,0,
Inflancka,,,0,0,0,0,0,0,0,0,
Inowrocławska,51.11553448781732,17.014584755202133,0,1,1,1,1,0,0,0,
Inżynierska,51.09464966222213,16.99164064160341,0,1,1,1,1,0,0,0,
Irysowa,51.151021361918744,17.017640526393667,0,0,0,0,0,1,0,0,
Iwiny - Brochowska/Polna,,,0,0,1,1,0,1,0,0,
Iwiny - Kolejowa,,,0,0,1,1,0,1,0,0,
Iwiny - Kościuszki 21,,,0,0,0,0,0,1,0,0,
Iwiny - Słoneczna,,,0,0,0,0,0,0,0,0,
Iwiny - Rondo,,,0,0,0,0,0,0,0,0,
Janówek (Woś),51.19172999743153,16.90617532388059,0,0,0,0,0,1,0,0,
Jarnołtów,,,0,0,0,0,0,1,0,0,
Jagodzińska,,,0,1,0,0,0,1,0,0,
Jaksonowice (Na Wys. Nr 27),,,0,1,0,0,0,1,0,0,
Jaksonowice - Skrzy.,,,0,1,0,0,0,1,0,0,
Januszkowice - Wierzbowa,51.22401813264712,17.23845877409008,0,1,1,1,1,1,0,0,
Januszkowice - Wrocławska,,,0,1,1,1,1,1,0,0,
Januszkowice - Skrzy. Kępa,,,0,1,0,0,0,0,0,0,
Janówek,,,0,1,0,1,1,0,0,0,
Jarnołtowska (Samotworska),51.120121020123925,16.85006911808537,0,1,0,1,1,0,0,0,
Jarocińska,,,0,1,0,0,0,0,0,0,
Jarzębinowa,,,0,1,0,0,0,0,0,0,
Jasińskiej,,,0,1,0,0,0,0,0,0,
Jastrzębia,51.08399812795594,17.01040773549541,0,1,1,1,1,1,0,0,
Jaszkotle - Palmowa,,,0,0,1,1,0,0,0,0,
Jaszkotle - Kościół,,,0,0,0,0,0,0,0,0,
Jaworowa,,,0,0,0,0,0,0,0,0,
Jedności Narodowej,51.12132203646591,17.043400309479193,0,0,0,0,0,0,0,0,
Jeleniogórska,51.14526469994408,16.878219006010855,0,0,1,1,1,0,0,0,
Jerzmanowo (Cmentarz I),,,0,1,1,1,1,0,0,0,
Jerzmanowo (Cmentarz Ii),,,0,1,1,1,1,0,0,0,
Jerzmanowo (Cmentarz),,,0,1,1,1,1,0,0,0,
Jerzmanowska Nr 17,,,0,1,0,0,0,0,0,0,
Jerzmanowska Nr 9,,,0,1,0,0,0,0,0,0,
Joannitów,,,0,1,1,1,1,0,0,0,
Jordanowska,,,0,1,1,1,1,0,0,0,
Jutrosińska,,,0,1,1,1,1,0,0,0,
Jędrzejowska,,,0,1,1,1,1,0,0,0,
Kamieńskiego (Pętla),51.150701041129885,17.043151260506015,0,1,1,1,1,0,0,0,
Karłowice,51.13411347002424,17.03692672048272,0,1,0,0,0,0,0,0,
Kiełczowska (Lzn),,,0,1,0,1,1,0,0,0,
Klecina,51.06557363255986,16.9875943223411,0,1,0,1,1,0,0,0,
Klecina (Stacja Kolejowa),51.05816512564313,16.987906208250404,0,1,0,1,1,0,0,0,
Kminkowa,,,0,1,0,1,1,0,0,0,
Koszarowa (Szpital),51.14171753268457,17.064723506372715,0,1,0,1,1,0,1,0,
Koszarowa (Uniwersytet),51.14050169536454,17.068475138483297,1,1,0,0,0,0,0,0,
Kowale,51.127909463745006,17.102404916462614,0,1,1,1,0,0,0,0,
Kozanów,51.137480723569354,16.968859808499722,0,1,1,1,0,0,0,0,
Kozanów (Dokerska),51.141220367073785,16.96403479408775,0,0,0,0,1,1,0,0,
Krakowska (Centrum Handlowe),51.09038855750975,17.064271103207957,0,0,1,0,1,1,0,0,
Kromera,51.13205230482232,17.065250678350605,0,0,0,0,0,0,0,0,
Krzyki,51.07480252089975,17.00689248884458,0,0,0,0,0,0,0,0,
Krzyżanowice,51.17715583276282,17.049786181779762,0,0,0,0,0,1,0,0,
Księże Małe,51.07749979333205,17.08374744124331,0,0,1,0,0,1,0,0,
Księże Wielkie,51.069834405541904,17.09753246976329,0,1,0,1,0,1,0,0,
Kuźniki,51.12368352802662,16.950555585340002,0,1,0,1,0,1,0,0,
Kuźniki (Stacja Kolejowa),,,0,1,0,0,0,0,0,0,
Kaczorowskiego,,,1,1,0,0,0,0,0,0,
Kadłub Nż,,,0,1,0,0,0,0,0,0,
Kadłub Wieś,,,0,1,1,1,0,0,0,0,
Kadłubka,,,0,1,1,1,0,1,0,0,
Kajdasza,,,0,1,1,1,0,1,0,0,
Kamienna,51.08563818869128,17.047235198199935,0,1,0,0,0,1,0,0,
Kamiennogórska (Ośrodek Dla Niewidomych),,,1,1,0,0,0,1,0,0,
Kamień - Bursztynowa,,,0,1,1,0,0,1,0,0,
